epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2655.38,0.69411,0.56044,1.07942,0.93939,0.8977,0.89883,0.71744,0.633,0.41884,1.02394,0.000208071,0.000208071,0.000208071
141,2675.04,0.677,0.49713,1.06601,0.95272,0.89347,0.89871,0.74386,0.64554,0.42265,1.02597,0.000204769,0.000204769,0.000204769
142,2693.56,0.67233,0.47777,1.0682,0.94075,0.88092,0.91499,0.75286,0.64457,0.42889,1.03315,0.000201467,0.000201467,0.000201467
143,2712.79,0.69587,0.50078,1.08451,0.80454,0.9899,0.93295,0.77828,0.64638,0.42325,1.02945,0.000198166,0.000198166,0.000198166
144,2731.94,0.65195,0.48377,1.04644,0.95481,0.89757,0.90097,0.75658,0.62633,0.41135,1.01127,0.000194864,0.000194864,0.000194864
145,2750.62,0.65428,0.48653,1.03279,0.95397,0.8983,0.89532,0.72388,0.6375,0.43276,1.02465,0.000191562,0.000191562,0.000191562
146,2770.39,0.68738,0.48417,1.06743,0.95278,0.89718,0.89502,0.74799,0.60783,0.40843,1.01303,0.000188261,0.000188261,0.000188261
147,2789.19,0.64635,0.4596,1.04777,0.92494,0.89729,0.89599,0.72452,0.65603,0.44423,1.03809,0.000184959,0.000184959,0.000184959
148,2808.52,0.68469,0.47374,1.09175,0.94313,0.89562,0.90147,0.73704,0.63518,0.425,1.01792,0.000181657,0.000181657,0.000181657
149,2827.16,0.65435,0.47574,1.07382,0.95317,0.89673,0.89047,0.74471,0.62227,0.41719,1.01985,0.000178356,0.000178356,0.000178356
150,2846.46,0.66712,0.45376,1.06153,0.94481,0.89137,0.89304,0.74154,0.62884,0.4094,1.01939,0.000175054,0.000175054,0.000175054
151,2865.2,0.65573,0.48043,1.0533,0.93863,0.89737,0.90419,0.7392,0.63003,0.39767,1.02029,0.000171752,0.000171752,0.000171752
152,2884.77,0.7045,0.50336,1.09574,0.94207,0.89737,0.9132,0.75486,0.61446,0.40336,1.00975,0.000168451,0.000168451,0.000168451
153,2903.65,0.63745,0.49355,1.02839,0.93414,0.89842,0.8819,0.73722,0.62243,0.41039,1.01406,0.000165149,0.000165149,0.000165149
154,2922.54,0.65621,0.45923,1.05762,0.93542,0.90707,0.88495,0.73991,0.64668,0.41769,1.02143,0.000161848,0.000161848,0.000161848
155,2941.39,0.62015,0.44758,1.0142,0.93263,0.89721,0.89701,0.74131,0.63912,0.40978,1.01514,0.000158546,0.000158546,0.000158546
156,2960.17,0.65794,0.4663,1.0724,0.93187,0.89843,0.88093,0.74823,0.60056,0.39062,0.99779,0.000155244,0.000155244,0.000155244
157,2979.12,0.66013,0.46396,1.06516,0.93897,0.89899,0.88531,0.74494,0.6021,0.38421,0.99621,0.000151943,0.000151943,0.000151943
158,2997.47,0.65231,0.4579,1.05371,0.9371,0.89401,0.89519,0.74011,0.60878,0.39751,1.00216,0.000148641,0.000148641,0.000148641
159,3016.81,0.62326,0.4516,1.02728,0.93871,0.8959,0.89909,0.74694,0.5947,0.38763,1.00277,0.000145339,0.000145339,0.000145339
160,3035.24,0.66498,0.48399,1.07975,0.93983,0.89623,0.88992,0.7578,0.60098,0.393,1.00271,0.000142038,0.000142038,0.000142038
161,3053.75,0.63155,0.4486,1.0443,0.93643,0.89152,0.90302,0.76632,0.58192,0.39931,0.99344,0.000138736,0.000138736,0.000138736
162,3073.17,0.63719,0.4487,1.04256,0.9355,0.89331,0.89606,0.76005,0.60299,0.4017,1.0027,0.000135434,0.000135434,0.000135434
163,3092.03,0.64371,0.44871,1.02773,0.94252,0.89838,0.89445,0.73192,0.60373,0.38871,1.00112,0.000132133,0.000132133,0.000132133
164,3111.61,0.61116,0.43911,1.03923,0.94124,0.89211,0.90117,0.76156,0.60616,0.39994,0.99636,0.000128831,0.000128831,0.000128831
165,3130.03,0.62857,0.4599,1.04123,0.93667,0.89848,0.90576,0.76261,0.60981,0.39515,1.00291,0.000125529,0.000125529,0.000125529
166,3149.37,0.63515,0.45263,1.03566,0.93447,0.90528,0.90758,0.76696,0.60538,0.38725,1.00028,0.000122228,0.000122228,0.000122228
167,3167.74,0.59642,0.42015,1.01451,0.93604,0.89548,0.90058,0.75705,0.60893,0.38515,1.00547,0.000118926,0.000118926,0.000118926
168,3186.96,0.61992,0.43124,1.0427,0.93785,0.89276,0.89902,0.74965,0.61408,0.38428,1.00701,0.000115624,0.000115624,0.000115624
169,3205.4,0.66251,0.53133,1.05739,0.93671,0.88695,0.89517,0.74367,0.60057,0.38056,0.99986,0.000112323,0.000112323,0.000112323
170,3224.25,0.62444,0.43842,1.03329,0.93659,0.89806,0.89451,0.75316,0.59551,0.38255,0.99884,0.000109021,0.000109021,0.000109021
171,3243.46,0.62782,0.44237,1.04127,0.9311,0.89683,0.89822,0.75166,0.60695,0.38207,1.00516,0.00010572,0.00010572,0.00010572
172,3261.74,0.62556,0.43365,1.03659,0.93552,0.88682,0.8779,0.73201,0.59613,0.38205,0.99892,0.000102418,0.000102418,0.000102418
173,3281.18,0.6156,0.44302,1.03988,0.9228,0.89899,0.88389,0.73218,0.6114,0.37713,1.00634,9.91162e-05,9.91162e-05,9.91162e-05
174,3299.75,0.60477,0.43915,1.04566,0.91923,0.90509,0.89501,0.74496,0.61604,0.3951,1.00732,9.58146e-05,9.58146e-05,9.58146e-05
175,3318.76,0.62392,0.43236,1.02873,0.93105,0.88889,0.89196,0.73804,0.6087,0.38801,1.00686,9.25129e-05,9.25129e-05,9.25129e-05
176,3337.36,0.63068,0.46168,1.06054,0.92255,0.88889,0.90006,0.76413,0.60065,0.38457,1.00015,8.92113e-05,8.92113e-05,8.92113e-05
177,3356.02,0.61943,0.43426,1.0342,0.92613,0.89899,0.88245,0.74106,0.61073,0.39509,0.99908,8.59096e-05,8.59096e-05,8.59096e-05
178,3374.49,0.59701,0.42212,1.01166,0.91906,0.89799,0.88076,0.73708,0.59652,0.39075,0.99961,8.26079e-05,8.26079e-05,8.26079e-05
179,3392.87,0.58443,0.41328,1.02037,0.93821,0.89899,0.88787,0.74107,0.6095,0.39151,1.00092,7.93063e-05,7.93063e-05,7.93063e-05
180,3411.65,0.59968,0.43182,1.00556,0.93525,0.89899,0.89598,0.74786,0.6106,0.39363,1.00632,7.60046e-05,7.60046e-05,7.60046e-05
